ticker,category,name
VOO,S&P 500,Vanguard S&P 500 ETF
IEF,중기채권,iShares 7-10 Year Treasury Bond ETF
IAU,금,iShares Gold Trust
SOXX,반도체,iShares Semiconductor ETF
AIQ,AI,Global X AI & Technology ETF
QTUM,양자컴퓨팅,Defiance Quantum ETF
